n,m,density,det_mlogn_us,det_ops,K_niveles
100,200,0.020202,160,200,4
500,1000,0.004008,524,1000,5
1000,2000,0.002002,995,1994,5
2000,4000,0.001001,1568,4000,5
5000,10000,0.000400,3157,9995,6
10000,20000,0.000200,6114,20000,6
500,500,0.002004,389,348,5
500,2500,0.010020,338,2500,5
500,12500,0.050100,543,12500,5
500,50000,0.200401,424,50000,5
1000,1000,0.001001,659,848,5
1000,5000,0.005005,638,5000,5
1000,10000,0.010010,692,10000,5
1000,50000,0.050050,1374,50000,5
1000,100000,0.100100,1125,100000,5
1000,200000,0.200200,1842,200000,5
